City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Xining,CN,36.62,101.77,57.9,79,100,4.03,Rain
270,Sibu,MY,2.3,111.82,89.6,59,20,5.82,Clouds
271,Mayumba,GA,-3.43,10.66,70.29,83,33,4.65,Clouds
272,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.2,79,11,11.48,Clouds
273,Tateyama,JP,34.98,139.87,88.0,70,20,6.93,Clouds
274,Torbay,CA,47.67,-52.73,57.99,100,20,11.41,Clouds
275,Bonavista,CA,48.65,-53.11,55.0,73,19,1.01,Clouds
276,Kargopol,RU,61.51,38.95,53.89,89,4,3.89,Clear
277,Padang,ID,-0.95,100.35,84.85,60,95,5.19,Clouds
278,Tiznit,MA,29.58,-9.5,75.94,40,0,1.36,Clear
279,Yantarnyy,RU,54.87,19.94,64.0,88,98,2.24,Clouds
280,Sioux Lookout,CA,50.1,-91.92,50.0,93,20,2.66,Clouds
281,Kaeo,NZ,-35.1,173.78,57.99,3,68,7.0,Rain
282,Dongsheng,CN,39.82,109.98,80.64,22,0,7.49,Clear
283,Kesinga,IN,20.2,83.23,87.12,66,100,11.12,Clouds
284,Neka,IR,36.65,53.3,80.6,83,90,6.93,Mist
285,Itabira,BR,-19.62,-43.23,51.28,96,6,1.45,Clear
286,Kuandian,CN,40.73,124.78,79.72,80,99,10.4,Clouds
287,Cabo San Lucas,MX,22.89,-109.91,84.0,58,5,11.41,Clear
288,Hithadhoo,MV,-0.6,73.08,83.61,75,100,12.68,Clouds
289,North Bend,US,43.41,-124.22,63.0,82,90,5.82,Clouds
290,Bereznik,RU,62.86,42.71,52.97,94,100,2.71,Clouds
291,Yazman,PK,29.12,71.74,102.49,34,0,19.98,Clear
292,Ucluelet,CA,48.93,-125.55,62.01,93,86,5.75,Clouds
293,Bathsheba,BB,13.22,-59.52,82.4,78,40,11.41,Clouds
294,Scarborough,GB,54.28,-0.4,52.0,88,82,6.46,Clouds
295,Imeni Babushkina,RU,59.76,43.13,57.65,68,50,3.0,Clouds
296,Gazanjyk,TM,39.24,55.52,94.06,14,0,3.91,Clear
297,Parkes,AU,-33.13,148.18,63.0,48,100,6.11,Clouds
298,Nanakuli,US,21.39,-158.15,80.6,61,1,8.05,Clear
299,San Bernardo,CL,-33.6,-70.72,48.2,76,0,1.12,Clear
300,Tual,ID,-5.67,132.75,77.85,82,76,17.34,Clouds
301,Henties Bay,NA,-22.12,14.28,69.01,17,0,5.01,Clear
302,Kouvaras,GR,37.83,23.97,82.4,37,0,16.11,Clear
303,Pittsburg,US,38.03,-121.88,70.0,52,1,10.29,Clear
304,Santa Cruz Del Norte,CU,23.15,-81.92,78.8,100,20,5.82,Clouds
305,Valparaiso,CL,-33.04,-71.63,53.01,79,0,8.48,Clear
306,Flinders,AU,-34.58,150.86,66.0,41,100,5.01,Clouds
307,Paamiut,GL,61.99,-49.67,44.56,96,100,5.23,Clouds
308,Bac Lieu,VN,9.29,105.72,84.27,76,99,15.46,Clouds
309,Laguna,US,38.42,-121.42,77.0,46,1,6.87,Clear
310,Goure,NE,13.98,10.27,75.83,80,31,15.43,Clouds
311,Podgornoye,RU,51.73,39.15,60.8,82,0,2.24,Clear
312,Shakawe,BW,-18.37,21.85,45.36,56,0,4.14,Clear
313,Bo Rai,TH,12.57,102.54,86.0,74,75,13.87,Clouds
314,Zlynka,RU,52.43,31.74,60.8,77,1,4.47,Clear
315,Beloha,MG,-25.17,45.05,63.12,67,0,16.08,Clear
316,Quepos,CR,9.42,-84.17,70.0,100,100,5.82,Rain
317,Midland,US,32.0,-102.08,78.8,44,1,17.22,Clear
318,Iralaya,HN,15.0,-83.23,81.3,85,66,5.59,Clouds
319,Arman,RU,59.7,150.17,64.18,60,57,7.23,Clouds
320,Rugby,GB,52.37,-1.26,52.0,88,2,4.34,Clear
321,Kabo,CF,7.7,18.63,68.9,97,96,2.71,Clouds
322,Anloga,GH,5.79,0.9,75.2,83,20,10.29,Clouds
323,Meiganga,CM,6.52,14.3,64.49,97,100,3.29,Clouds
324,Puerto Ayacucho,VE,5.66,-67.62,74.19,91,1,3.27,Clear
325,Mlowo,TZ,-9.0,32.98,53.26,82,29,1.95,Clouds
326,Hami,CN,42.8,93.45,96.8,9,100,11.03,Clouds
327,Tommot,RU,58.96,126.29,71.91,47,95,8.68,Clouds
328,Chicama,PE,-7.84,-79.15,60.04,86,51,4.05,Clouds
329,Atambua,ID,-9.11,124.89,81.91,53,16,1.01,Clouds
330,Arua,UG,3.02,30.91,65.46,89,81,2.04,Clouds
331,Hoquiam,US,46.98,-123.89,63.0,82,75,6.93,Clouds
332,Gazojak,TM,41.19,61.4,94.39,15,0,8.1,Clear
333,Polyarnyy,RU,69.2,33.45,48.2,93,75,4.47,Rain
334,Mana,GF,5.66,-53.78,76.14,88,96,7.16,Clouds
335,Zhigansk,RU,66.77,123.37,68.38,40,83,14.54,Clouds
336,Belaya Gora,RU,68.53,146.42,63.54,43,99,10.13,Clouds
337,Plainview,US,40.78,-73.47,81.0,84,99,1.99,Clouds
338,Biak,ID,-0.91,122.88,79.34,79,83,5.39,Rain
339,Sri Aman,MY,1.24,111.46,86.0,74,40,5.82,Clouds
340,Cap Malheureux,MU,-19.98,57.61,71.01,58,29,14.0,Clouds
341,Severo-Kurilsk,RU,50.68,156.12,57.11,90,99,10.29,Clouds
342,Moindou,NC,-21.69,165.68,69.8,52,90,10.29,Clouds
343,Hailey,US,43.52,-114.32,73.4,28,5,9.17,Clear
344,Norfolk,US,42.17,-71.25,79.0,95,93,8.23,Clouds
345,Adrar,MR,20.5,-10.07,93.36,26,0,12.06,Clear
346,Kutum,SD,14.2,24.67,70.11,85,50,6.73,Rain
347,Cruz Alta,BR,-28.64,-53.61,58.12,81,0,6.08,Clear
348,Shache,CN,38.42,77.24,92.75,10,0,7.65,Clear
349,Chingola,ZM,-12.53,27.88,46.83,84,20,5.91,Clouds
350,Jalu,LY,29.03,21.55,75.42,79,0,9.37,Clear
351,Inzhavino,RU,52.32,42.49,61.03,73,74,5.17,Clouds
352,Letlhakane,BW,-21.42,25.58,46.94,75,0,10.63,Clear
