City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Hobart,AU,-42.88,147.33,48.0,65,75,11.41
110,Berlevag,NO,70.86,29.09,48.18,91,100,9.69
111,Kaabong,UG,3.48,34.15,62.29,75,92,8.59
112,Rodos,GR,36.44,28.22,81.0,88,0,3.56
113,Lata,PT,40.16,-8.33,62.01,88,100,4.0
114,Ribeira Grande,PT,38.52,-28.7,71.56,83,0,7.49
115,Tiznit,MA,29.58,-9.5,77.5,39,0,1.41
116,Lorengau,PG,-2.02,147.27,84.33,76,87,12.73
117,Severo-Kurilsk,RU,50.68,156.12,55.42,91,100,13.87
118,Beringovskiy,RU,63.05,179.32,48.61,71,94,15.3
119,Tangshan,CN,39.63,118.18,93.99,8,10,3.0
120,Ust-Koksa,RU,50.27,85.61,59.83,65,0,0.83
121,Nome,US,64.5,-165.41,66.0,72,1,11.41
122,Yellowknife,CA,62.46,-114.35,80.6,54,20,9.17
